tbl,year,qtr,month,region_name,total_eqpt,total_eqpt_budget
ByMonth,2017,3,9,CALABARZON,8,3433500.00
ByMonth,2017,4,10,CALABARZON,7,3241000.00
ByMonth,2017,4,11,CALABARZON,18,11614200.00
ByMonth,2017,4,12,CALABARZON,10,7970568.42
ByMonth,2018,1,1,CALABARZON,12,4319817.00
ByMonth,2018,1,2,CALABARZON,16,9350308.38
ByMonth,2018,1,3,CALABARZON,24,5207270.26
ByMonth,2018,2,4,CALABARZON,14,2019803.40
ByMonth,2018,2,5,CALABARZON,8,4709.00
ByMonth,2018,2,6,CALABARZON,8,2161750.00
ByMonth,2018,3,7,CALABARZON,5,7513000.00
ByMonth,2018,3,8,CALABARZON,16,1489353.89
ByMonth,2018,3,9,CALABARZON,22,2260830.00
ByMonth,2018,4,10,CALABARZON,8,8830179.00
ByMonth,2018,4,11,CALABARZON,7,3736477.78
ByMonth,2018,4,12,CALABARZON,2,3722868.75
ByMonth,2019,1,1,CALABARZON,12,983170.00
ByMonth,2019,1,2,CALABARZON,13,4246935.40
ByMonth,2019,1,3,CALABARZON,13,2668041.54
ByMonth,2019,2,4,CALABARZON,11,16464691.00
ByMonth,2019,2,5,CALABARZON,14,1923270.00
ByMonth,2019,2,6,CALABARZON,11,1559489.96
ByMonth,2019,3,7,CALABARZON,6,8438900.00
ByMonth,2019,3,8,CALABARZON,3,490000.00
ByMonth,2019,3,9,CALABARZON,9,3731250.00
ByMonth,2019,4,10,CALABARZON,2,2055641.51
ByMonth,2019,4,11,CALABARZON,25,1939057.00
ByMonth,2019,4,12,CALABARZON,4,1914600.00
ByMonth,2020,1,1,CALABARZON,7,9379950.00
ByMonth,2020,1,2,CALABARZON,17,4517487.78
ByMonth,2020,1,3,CALABARZON,6,4201450.00
ByMonth,2020,2,6,CALABARZON,8,8599131.55
ByMonth,2020,3,7,CALABARZON,9,3865042.00
ByMonth,2020,3,8,CALABARZON,2,134940.00
ByMonth,2020,3,9,CALABARZON,3,343800.00
ByMonth,2020,4,10,CALABARZON,7,2316300.00
ByMonth,2020,4,11,CALABARZON,4,3675500.00
ByMonth,2020,4,12,CALABARZON,19,4210366.00
ByMonth,2021,1,1,CALABARZON,5,5.00
ByMonth,2021,1,2,CALABARZON,2,502000.00
ByMonth,2021,1,3,CALABARZON,8,2069085.14
ByMonth,2021,2,4,CALABARZON,8,253668.75
ByMonth,2021,2,6,CALABARZON,3,702494.74
ByMonth,2021,3,7,CALABARZON,1,20000.00
